MPG,USG,FTA,FT%,TPA,2P%,threePA,3P%,eFG,TS,PPG,AST,ORTG
8.9,25.2,5,0.8,10,0.3,8,0.375,0.417,0.47,4.8,21.5,105.6
4.3,27.4,4,0.75,6,0.333,1,1,0.5,0.571,2.5,30.7,104.9
4.9,10.8,0,0,4,1,0,0,1,1,2,16.5,164.6
13.6,10.8,2,1,10,0.7,0,0,0.7,0.735,5.3,7.8,161.7
9.7,18.5,4,0.5,3,0.667,7,0,0.2,0.255,2,21.8,86.5
4.5,20.4,0,0,3,0.333,2,0.5,0.5,0.5,1.7,0,79.4
6.5,13,0,0,5,0.2,1,0,0.167,0.167,0.7,7.6,48.3
11.9,20.9,4,1,7,0.429,8,0.125,0.3,0.388,4.3,8.4,92
5,34.5,1,1,8,0.625,4,0.25,0.542,0.563,4.7,0,108
9.4,20.8,8,0.875,6,0.667,5,0.6,0.773,0.826,8,70.3,188.2
7.3,16.7,0,0,1,0,7,0.429,0.563,0.563,3,20.7,113.8
4.9,17.8,2,0.5,5,0.4,0,0,0.4,0.425,1.7,0,97.5
4.7,36.2,1,1,3,0.667,7,0,0.2,0.239,1.7,40.6,62.1
6.1,24,2,0,2,1,7,0.286,0.556,0.506,3.3,12.2,106.6
4.2,9.9,2,1,2,0.5,0,0,0.5,0.694,1.3,0,159
16.7,27,25,0.64,41,0.439,12,0.25,0.425,0.477,7.6,20.7,89.9
7.1,30.4,7,0.714,4,0.5,3,0,0.286,0.446,4.5,0,99.8
5.5,23.6,3,0.667,4,0.25,0,0,0.25,0.376,2,36.9,88.3
10.9,15.2,2,0.5,6,0.333,0,0,0.333,0.363,2.5,0,74.1
29.1,34.7,7,1,26,0.462,13,0.462,0.538,0.582,24.5,43.8,116.5
7.3,16.7,0,0,2,1,1,0,0.667,0.667,2,0,55.7
16.3,22.4,6,0.667,0,0,11,0.091,0.136,0.257,3.5,17.3,72.8
9.8,18.2,2,1,2,0,1,0,0,0.258,2,0,77.5
4.9,20.9,1,0,2,0.5,0,0,0.5,0.41,2,0,80.2
